scenario_id,p,config,seed,passed,t_first_pass,t_last_pass,active_period,throughput_active,throughput_full,per_gate_active,z_bmax
p10_cfg5_s45,0.1,5,45,437,35.050000000000004,599.5,564.45,0.7742049782974576,0.7283333333333334,0.11060071118535109,0.0236111111111111
p10_cfg5_s46,0.1,5,46,428,34.45,598.65,564.1999999999999,0.7585962424672102,0.7133333333333334,0.10837089178103003,0.0208333333333333
p10_cfg6_s42,0.1,6,42,261,34.300000000000004,598.8000000000001,564.5000000000001,0.46235606731620893,0.435,0.06605086675945841,0.0097222222222222
p10_cfg6_s44,0.1,6,44,275,34.9,599.85,564.95,0.4867687405965129,0.4583333333333333,0.06953839151378756,0.0222222222222222
p10_cfg6_s43,0.1,6,43,266,34.800000000000004,596.75,561.95,0.47335172168342377,0.44333333333333336,0.06762167452620339,0.0263888888888888
p10_cfg6_s46,0.1,6,46,269,34.45,595.15,560.6999999999999,0.4797574460495809,0.4483333333333333,0.068536778007083,0.0111111111111111
p10_cfg6_s45,0.1,6,45,272,35.25,598.85,563.6,0.4826117814052519,0.4533333333333333,0.06894454020075028,0.0194444444444444
p30_cfg1_s42,0.3,1,42,794,33.4,571.75,538.35,1.4748769387944645,1.3233333333333333,0.21069670554206635,0.8055555555555555
p30_cfg1_s44,0.3,1,44,807,34.300000000000004,598.75,564.45,1.429710337496678,1.345,0.20424433392809685,0.751388888888889
p30_cfg1_s43,0.3,1,43,823,35.0,587.75,552.75,1.4889190411578472,1.3716666666666666,0.21270272016540676,0.8541666666666666
p30_cfg2_s42,0.3,2,42,794,33.4,585.8000000000001,552.4000000000001,1.4373642288196957,1.3233333333333333,0.20533774697424226,0.686111111111111
p30_cfg1_s46,0.3,1,46,803,33.0,598.75,565.75,1.4193548387096775,1.3383333333333334,0.20276497695852536,0.7861111111111111
p30_cfg1_s45,0.3,1,45,848,34.5,598.75,564.25,1.5028799291094372,1.4133333333333333,0.2146971327299196,0.8986111111111111
p30_cfg2_s43,0.3,2,43,823,34.95,575.75,540.8,1.521819526627219,1.3716666666666666,0.21740278951817413,0.7861111111111111
p30_cfg3_s42,0.3,3,42,792,34.35,598.65,564.3,1.4035087719298247,1.32,0.2005012531328321,0.3680555555555556
p30_cfg2_s44,0.3,2,44,807,34.300000000000004,587.1,552.8000000000001,1.4598408104196814,1.345,0.20854868720281164,0.7083333333333334
p30_cfg3_s43,0.3,3,43,822,34.45,598.4,563.9499999999999,1.4575760262434614,1.37,0.20822514660620878,0.3777777777777777
p30_cfg2_s46,0.3,2,46,811,33.0,592.6,559.6,1.4492494639027877,1.3516666666666666,0.20703563770039826,0.6958333333333333
p30_cfg2_s45,0.3,2,45,857,34.9,591.7,556.8000000000001,1.5391522988505746,1.4283333333333332,0.21987889983579637,0.8236111111111111
p30_cfg3_s44,0.3,3,44,796,35.300000000000004,599.4,564.1,1.4110973231696506,1.3266666666666667,0.20158533188137867,0.4430555555555555
p30_cfg4_s43,0.3,4,43,755,34.45,599.7,565.25,1.3356921716054844,1.2583333333333333,0.19081316737221204,0.2805555555555555
p30_cfg4_s42,0.3,4,42,780,34.35,598.4,564.05,1.3828561297757291,1.3,0.19755087568224702,0.2916666666666667
p30_cfg3_s46,0.3,3,46,792,33.7,598.4,564.6999999999999,1.4025146095271828,1.32,0.20035922993245467,0.4319444444444444
p30_cfg3_s45,0.3,3,45,845,34.050000000000004,599.7,565.6500000000001,1.4938566251215413,1.4083333333333334,0.21340808930307734,0.4152777777777778
p30_cfg4_s44,0.3,4,44,767,34.550000000000004,599.95,565.4000000000001,1.3565617262115315,1.2783333333333333,0.19379453231593308,0.3013888888888889
p30_cfg4_s45,0.3,4,45,765,34.4,599.85,565.45,1.3529047661154832,1.275,0.19327210944506903,0.2527777777777777
p30_cfg5_s44,0.3,5,44,574,34.9,598.65,563.75,1.018181818181818,0.9566666666666667,0.14545454545454545,0.1041666666666666
p30_cfg5_s43,0.3,5,43,600,34.800000000000004,598.45,563.6500000000001,1.0644903752328572,1.0,0.1520700536046939,0.0805555555555555
p30_cfg5_s42,0.3,5,42,625,34.550000000000004,599.0,564.45,1.1072725662148994,1.0416666666666667,0.15818179517355707,0.1583333333333333
p30_cfg5_s45,0.3,5,45,610,35.1,596.7,561.6,1.0861823361823362,1.0166666666666666,0.15516890516890516,0.1013888888888888
p30_cfg4_s46,0.3,4,46,760,33.7,597.45,563.75,1.3481152993348116,1.2666666666666666,0.19258789990497308,0.2347222222222222
p30_cfg5_s46,0.3,5,46,618,33.9,599.45,565.5500000000001,1.0927415789938997,1.03,0.1561059398562714,0.1097222222222222
p30_cfg6_s42,0.3,6,42,411,34.300000000000004,599.9,565.6,0.7266619519094766,0.685,0.10380885027278237,0.0583333333333333
p30_cfg6_s44,0.3,6,44,418,34.9,599.9,565.0,0.7398230088495575,0.6966666666666667,0.10568900126422251,0.0499999999999999
p30_cfg6_s43,0.3,6,43,403,34.800000000000004,598.4,563.6,0.7150461320085166,0.6716666666666666,0.10214944742978808,0.0597222222222222
p30_cfg6_s46,0.3,6,46,399,33.9,597.4,563.5,0.7080745341614907,0.665,0.10115350488021295,0.0416666666666666
p30_cfg6_s45,0.3,6,45,447,35.1,599.8000000000001,564.7,0.7915707455285992,0.745,0.11308153507551418,0.0680555555555555
p50_cfg1_s42,0.5,1,42,731,33.4,598.25,564.85,1.2941488890855979,1.2183333333333333,0.18487841272651398,0.6527777777777778
p50_cfg1_s43,0.5,1,43,740,35.0,599.5,564.5,1.3108945969884853,1.2333333333333334,0.18727065671264076,0.6749999999999999
p50_cfg1_s44,0.5,1,44,732,34.300000000000004,599.25,564.95,1.2956898840605362,1.22,0.18509855486579088,0.5513888888888888
p50_cfg1_s45,0.5,1,45,763,34.050000000000004,598.25,564.2,1.3523573200992556,1.2716666666666667,0.19319390287132224,0.7000000000000001
p50_cfg1_s46,0.5,1,46,711,33.0,598.25,565.25,1.2578505086245024,1.185,0.17969292980350035,0.5694444444444444
p50_cfg2_s42,0.5,2,42,794,33.4,567.0,533.6,1.4880059970014992,1.3233333333333333,0.21257228528592845,0.6944444444444445
p50_cfg2_s43,0.5,2,43,823,34.95,575.25,540.3,1.5232278363871925,1.3716666666666666,0.21760397662674177,0.6847222222222222
p50_cfg2_s44,0.5,2,44,807,34.300000000000004,591.75,557.45,1.4476634675755673,1.345,0.20680906679650962,0.6416666666666667
p50_cfg2_s46,0.5,2,46,811,33.0,596.75,563.75,1.438580931263858,1.3516666666666666,0.20551156160912257,0.611111111111111
p50_cfg2_s45,0.5,2,45,857,34.050000000000004,585.25,551.2,1.5547895500725688,1.4283333333333332,0.22211279286750982,0.775
p50_cfg3_s42,0.5,3,42,794,34.35,564.15,529.8,1.498678746696867,1.3233333333333333,0.21409696381383814,0.8541666666666666
p50_cfg3_s43,0.5,3,43,823,34.45,575.45,541.0,1.521256931608133,1.3716666666666666,0.21732241880116185,0.8791666666666668
p50_cfg3_s44,0.5,3,44,806,35.300000000000004,598.95,563.6500000000001,1.4299654040628047,1.3433333333333333,0.2042807720089721,0.8597222222222222
p50_cfg4_s42,0.5,4,42,794,34.35,596.5,562.15,1.4124344036289247,1.3233333333333333,0.20177634337556066,0.6305555555555555
p50_cfg3_s45,0.5,3,45,857,34.6,582.5500000000001,547.95,1.5640113149009944,1.4283333333333332,0.2234301878429992,0.9152777777777776
p50_cfg4_s43,0.5,4,43,823,34.45,589.8000000000001,555.35,1.481948320878725,1.3716666666666666,0.211706902982675,0.6666666666666666
p50_cfg3_s46,0.5,3,46,811,33.7,580.25,546.55,1.4838532613667552,1.3516666666666666,0.21197903733810788,0.8611111111111112
p50_cfg4_s44,0.5,4,44,800,34.550000000000004,599.95,565.4000000000001,1.4149274849663953,1.3333333333333333,0.2021324978523422,0.6749999999999999
p50_cfg4_s45,0.5,4,45,851,34.7,599.65,564.9499999999999,1.506327993627755,1.4183333333333332,0.21518971337539355,0.7305555555555556
p50_cfg5_s42,0.5,5,42,749,34.550000000000004,598.7,564.1500000000001,1.327661083045289,1.2483333333333333,0.18966586900646987,0.4486111111111111
p50_cfg5_s43,0.5,5,43,767,34.800000000000004,599.65,564.85,1.3578826237054085,1.2783333333333333,0.1939832319579155,0.4513888888888889
p50_cfg4_s46,0.5,4,46,810,33.7,597.65,563.9499999999999,1.4362975441085204,1.35,0.20518536344407434,0.7402777777777777
p50_cfg5_s44,0.5,5,44,768,34.9,599.75,564.85,1.3596530052226254,1.28,0.19423614360323221,0.5958333333333333
p50_cfg5_s45,0.5,5,45,798,35.6,599.7,564.1,1.414642793830881,1.33,0.20209182769012585,0.5750000000000001
p50_cfg5_s46,0.5,5,46,753,33.9,599.1,565.2,1.3322717622080678,1.255,0.1903245374582954,0.3999999999999999
p50_cfg6_s42,0.5,6,42,571,34.300000000000004,597.35,563.0500000000001,1.0141195275730395,0.9516666666666667,0.14487421822471994,0.2305555555555555
p50_cfg6_s43,0.5,6,43,590,34.800000000000004,599.6,564.8000000000001,1.0446175637393766,0.9833333333333333,0.14923108053419668,0.3
p50_cfg6_s44,0.5,6,44,586,34.9,599.85,564.95,1.0372599345074784,0.9766666666666667,0.14817999064392548,0.2472222222222222
p50_cfg6_s45,0.5,6,45,612,34.550000000000004,597.7,563.1500000000001,1.0867442066944861,1.02,0.15524917238492658,0.2708333333333333
p50_cfg6_s46,0.5,6,46,561,33.9,596.9,563.0,0.9964476021314387,0.935,0.14234965744734837,0.2236111111111111
p70_cfg1_s42,0.7,1,42,564,33.4,599.25,565.85,0.9967305823097994,0.94,0.14239008318711419,0.1916666666666666
p70_cfg1_s43,0.7,1,43,580,35.0,598.75,563.75,1.0288248337028825,0.9666666666666667,0.1469749762432689,0.2013888888888888
p70_cfg1_s44,0.7,1,44,559,34.1,599.25,565.15,0.9891179332920464,0.9316666666666666,0.14130256189886378,0.1513888888888888
p70_cfg1_s45,0.7,1,45,579,34.050000000000004,598.25,564.2,1.0262318326834454,0.965,0.1466045475262065,0.1986111111111111
p70_cfg1_s46,0.7,1,46,575,33.0,598.75,565.75,1.0163499779054352,0.9583333333333334,0.14519285398649076,0.1708333333333333
p70_cfg2_s42,0.7,2,42,794,33.4,598.5,565.1,1.4050610511413908,1.3233333333333333,0.20072300730591297,0.2694444444444444
p70_cfg2_s43,0.7,2,43,820,34.95,598.25,563.3,1.4557074383099593,1.3666666666666667,0.20795820547285132,0.2958333333333333
p70_cfg2_s44,0.7,2,44,778,33.65,599.0,565.35,1.3761386751569824,1.2966666666666666,0.19659123930814035,0.175
p70_cfg2_s45,0.7,2,45,822,34.050000000000004,599.75,565.7,1.4530669966413292,1.37,0.20758099952018988,0.1986111111111111
p70_cfg2_s46,0.7,2,46,784,33.0,599.25,566.25,1.3845474613686535,1.3066666666666666,0.1977924944812362,0.2041666666666667
p70_cfg3_s42,0.7,3,42,794,34.35,563.5,529.15,1.5005197014079183,1.3233333333333333,0.21435995734398833,0.8916666666666666
p70_cfg3_s43,0.7,3,43,823,34.45,566.0,531.55,1.5483021352647919,1.3716666666666666,0.2211860193235417,0.9347222222222222
p70_cfg3_s44,0.7,3,44,807,35.4,587.75,552.35,1.4610301439304787,1.345,0.2087185919900684,0.8611111111111112
p70_cfg3_s45,0.7,3,45,857,34.6,578.5,543.9,1.5756572899430044,1.4283333333333332,0.22509389856328635,0.9708333333333332
p70_cfg3_s46,0.7,3,46,811,33.7,584.75,551.05,1.4717357771527086,1.3516666666666666,0.21024796816467267,0.9111111111111112
p70_cfg4_s42,0.7,4,42,794,34.35,553.15,518.8,1.530454895913647,1.3233333333333333,0.21863641370194958,0.8027777777777777
p70_cfg4_s43,0.7,4,43,823,34.45,551.25,516.8,1.5924922600619196,1.3716666666666666,0.22749889429455994,0.813888888888889
p70_cfg4_s44,0.7,4,44,807,35.35,569.5500000000001,534.2,1.5106701609883937,1.345,0.21581002299834195,0.7597222222222223
p70_cfg4_s45,0.7,4,45,857,34.7,579.85,545.15,1.572044391451894,1.4283333333333332,0.22457777020741343,0.8777777777777778
p70_cfg4_s46,0.7,4,46,811,33.7,568.85,535.15,1.5154629543118752,1.3516666666666666,0.2164947077588393,0.8013888888888889
p70_cfg5_s42,0.7,5,42,794,34.550000000000004,577.0,542.45,1.4637293759793528,1.3233333333333333,0.20910419656847898,0.8861111111111111
p70_cfg5_s43,0.7,5,43,823,34.800000000000004,574.25,539.45,1.5256279543979978,1.3716666666666666,0.2179468506282854,0.9069444444444444
p70_cfg5_s44,0.7,5,44,799,34.9,597.25,562.35,1.4208233306659552,1.3316666666666668,0.2029747615237079,0.8277777777777778
p70_cfg5_s45,0.7,5,45,847,35.6,597.75,562.15,1.5067152895134752,1.4116666666666666,0.21524504135906788,0.9208333333333334
p70_cfg6_s42,0.7,6,42,723,34.300000000000004,599.85,565.5500000000001,1.2784015560074262,1.205,0.1826287937153466,0.5569444444444445
p70_cfg5_s46,0.7,5,46,808,33.9,599.65,565.75,1.4281926646045073,1.3466666666666667,0.20402752351492962,0.813888888888889
p70_cfg6_s43,0.7,6,43,762,34.800000000000004,599.9,565.1,1.3484339055034507,1.27,0.19263341507192153,0.7319444444444444
p70_cfg6_s44,0.7,6,44,746,34.9,599.7,564.8000000000001,1.3208215297450423,1.2433333333333334,0.18868878996357746,0.6597222222222222
p70_cfg6_s45,0.7,6,45,752,34.550000000000004,598.0500000000001,563.5000000000001,1.3345164152617566,1.2533333333333334,0.19064520218025094,0.6472222222222223
p70_cfg6_s46,0.7,6,46,752,33.9,597.7,563.8000000000001,1.3338063142958494,1.2533333333333334,0.19054375918512134,0.65
p80_cfg1_s42,0.8,1,42,466,34.45,598.25,563.8,0.8265342319971621,0.7766666666666666,0.11807631885673744,0.0777777777777777
p80_cfg1_s43,0.8,1,43,485,35.0,598.75,563.75,0.8603104212860311,0.8083333333333333,0.1229014887551473,0.0930555555555555
p80_cfg1_s44,0.8,1,44,470,34.1,599.25,565.15,0.8316376183314165,0.7833333333333333,0.11880537404734522,0.0736111111111111
p80_cfg1_s45,0.8,1,45,494,34.550000000000004,598.5,563.95,0.8759641812217395,0.8233333333333334,0.12513774017453422,0.0916666666666666
p80_cfg1_s46,0.8,1,46,485,34.7,598.75,564.05,0.8598528499246522,0.8083333333333333,0.12283612141780745,0.0902777777777777
p80_cfg2_s42,0.8,2,42,782,34.5,598.5,564.0,1.3865248226950355,1.3033333333333332,0.19807497467071936,0.1291666666666666
p80_cfg2_s44,0.8,2,44,747,33.65,599.75,566.1,1.3195548489666136,1.245,0.1885078355666591,0.0861111111111111
p80_cfg2_s43,0.8,2,43,797,34.95,598.5,563.55,1.4142489575015527,1.3283333333333334,0.20203556535736467,0.1013888888888888
p80_cfg2_s45,0.8,2,45,797,34.550000000000004,599.5,564.95,1.4107443136560756,1.3283333333333334,0.20153490195086793,0.0819444444444444
p80_cfg2_s46,0.8,2,46,764,34.65,599.0,564.35,1.3537698236909719,1.2733333333333334,0.19339568909871027,0.1513888888888888
p80_cfg3_s42,0.8,3,42,794,34.4,576.0,541.6,1.4660265878877399,1.3233333333333333,0.20943236969824855,0.8152777777777778
p80_cfg3_s43,0.8,3,43,823,34.45,580.25,545.8,1.5078783437156469,1.3716666666666666,0.21541119195937813,0.8708333333333332
p80_cfg3_s44,0.8,3,44,807,35.4,598.75,563.35,1.4325019969823378,1.345,0.20464314242604825,0.6902777777777778
p80_cfg3_s45,0.8,3,45,857,34.6,597.5,562.9,1.5224729081542014,1.4283333333333332,0.2174961297363145,0.8458333333333333
p80_cfg3_s46,0.8,3,46,811,33.800000000000004,599.5,565.7,1.4336220611631605,1.3516666666666666,0.20480315159473722,0.688888888888889
p80_cfg4_s42,0.8,4,42,794,34.35,554.5,520.15,1.526482745361915,1.3233333333333333,0.21806896362313072,0.7374999999999999
p80_cfg4_s43,0.8,4,43,823,34.45,557.0,522.55,1.5749689024973688,1.3716666666666666,0.2249955574996241,0.7791666666666667
p80_cfg4_s44,0.8,4,44,807,35.35,567.0,531.65,1.5179159221292204,1.345,0.21684513173274578,0.6916666666666668
p80_cfg4_s46,0.8,4,46,811,33.550000000000004,572.0,538.45,1.506175132324264,1.3516666666666666,0.21516787604632343,0.6930555555555555
p80_cfg4_s45,0.8,4,45,857,34.7,564.0,529.3,1.6191195919138486,1.4283333333333332,0.2313027988448355,0.8430555555555556
p80_cfg5_s42,0.8,5,42,794,33.4,564.3000000000001,530.9000000000001,1.4955735543416837,1.3233333333333333,0.21365336490595482,0.9597222222222224
p80_cfg5_s43,0.8,5,43,823,34.800000000000004,554.9,520.1,1.5823880023072485,1.3716666666666666,0.2260554289010355,0.9527777777777778
p80_cfg5_s44,0.8,5,44,807,34.9,569.95,535.0500000000001,1.508270255116344,1.345,0.21546717930233486,0.9041666666666668
p80_cfg5_s45,0.8,5,45,857,35.6,573.35,537.75,1.593677359367736,1.4283333333333332,0.22766819419539086,0.9402777777777778
p80_cfg6_s42,0.8,6,42,794,33.4,586.65,553.25,1.4351558969724356,1.3233333333333333,0.20502227099606224,0.8194444444444445
p80_cfg5_s46,0.8,5,46,811,33.1,566.25,533.15,1.5211478945887649,1.3516666666666666,0.21730684208410928,0.8861111111111111
p80_cfg6_s43,0.8,6,43,823,34.800000000000004,597.95,563.1500000000001,1.4614223563881734,1.3716666666666666,0.20877462234116764,0.7819444444444444
p80_cfg6_s44,0.8,6,44,791,34.9,596.85,561.95,1.4075985407954443,1.3183333333333334,0.20108550582792062,0.8013888888888889
p80_cfg6_s45,0.8,6,45,839,34.6,595.95,561.35,1.494611205130489,1.3983333333333334,0.2135158864472127,0.8722222222222222
p80_cfg6_s46,0.8,6,46,799,33.1,596.15,563.05,1.4190569221205933,1.3316666666666668,0.20272241744579905,0.7986111111111112
